storeID,address,city,state,isOpen,reviewScore
1,83 Hallows Center,San Diego,California,yes,4
2,92096 Bunker Hill Avenue,Spring,Texas,yes,4
3,8229 Jenifer Terrace,Portland,Oregon,yes,5
4,4 Golf Parkway,Portland,Oregon,no,5
5,8383 Westend Terrace,Omaha,Nebraska,no,5
6,37131 Miller Terrace,Honolulu,Hawaii,no,5
7,73424 Straubel Parkway,Charlotte,North Carolina,no,5
8,65 Service Crossing,Indianapolis,Indiana,yes,4
9,0 Independence Circle,Sioux Falls,South Dakota,yes,5
10,04547 School Alley,New York City,New York,yes,4
11,6 Fordem Court,Alhambra,California,no,4
12,5 Monterey Junction,Knoxville,Tennessee,no,5
13,78634 Ludington Terrace,Decatur,Georgia,no,5
14,4102 Donald Terrace,Spokane,Washington,no,4
15,7 Debra Trail,Memphis,Tennessee,yes,4
16,7765 Roxbury Lane,Des Moines,Iowa,no,4
17,66059 Vera Parkway,Louisville,Kentucky,yes,4
18,9 Golf View Hill,Aiken,South Carolina,no,4
19,2 Heath Alley,Topeka,Kansas,yes,5
20,104 Vernon Plaza,Tucson,Arizona,yes,5
21,7 Tomscot Circle,Fort Wayne,Indiana,yes,5
22,617 Katie Hill,Los Angeles,California,no,5
23,4933 Bay Lane,Vancouver,Washington,yes,5
24,3 Crowley Plaza,Washington,District of Columbia,no,5
25,9 Longview Pass,El Paso,Texas,no,4
26,696 Mayfield Court,Waco,Texas,no,5
27,8 Burrows Avenue,Boca Raton,Florida,no,5
28,289 Buell Point,Akron,Ohio,yes,4
29,58412 Vernon Pass,Baltimore,Maryland,no,5
30,8 La Follette Lane,Mobile,Alabama,no,5
31,4 Sugar Park,Lancaster,Pennsylvania,no,4
32,52772 Schurz Pass,Stamford,Connecticut,yes,4
33,9604 Tennyson Street,Omaha,Nebraska,no,4
34,9 Del Sol Drive,Philadelphia,Pennsylvania,yes,4
35,57244 Oakridge Pass,Simi Valley,California,yes,5
36,3611 Green Ridge Lane,Atlanta,Georgia,yes,4
37,57 Fulton Park,Los Angeles,California,no,4
38,8 Sugar Pass,Irvine,California,yes,4
39,5702 Express Crossing,Virginia Beach,Virginia,no,5
40,550 Hintze Hill,Bronx,New York,yes,5
41,62440 Pankratz Street,Lexington,Kentucky,yes,5
42,17068 Boyd Point,Tulsa,Oklahoma,no,5
43,2670 Welch Place,Van Nuys,California,no,5
44,5330 Roth Parkway,Lancaster,California,yes,4
45,795 High Crossing Court,Amarillo,Texas,no,5
46,3676 Maple Street,Huntington Beach,California,no,5
47,8 Erie Crossing,Saint Petersburg,Florida,no,5
48,2 Myrtle Place,Fort Worth,Texas,yes,5
49,2 Vidon Way,Austin,Texas,no,5
50,3 Raven Way,Louisville,Kentucky,yes,4
51,66066 Myrtle Court,Nashville,Tennessee,yes,5
52,075 Welch Street,Dayton,Ohio,no,5
53,68 Kenwood Junction,Fort Worth,Texas,no,4
54,5 Carey Alley,Grand Forks,North Dakota,yes,5
55,4 Barnett Junction,Tuscaloosa,Alabama,no,4
56,119 Monterey Terrace,Pompano Beach,Florida,no,5
57,88543 Harbort Center,Pueblo,Colorado,yes,4
58,1 Sugar Crossing,Richmond,Virginia,yes,4
59,187 Charing Cross Lane,Saint Paul,Minnesota,yes,5
60,80 Fuller Road,Charleston,West Virginia,yes,5
61,4 Sutherland Avenue,Atlanta,Georgia,no,5
62,95 Grim Hill,Toledo,Ohio,no,4
63,44388 Norway Maple Parkway,Fort Lauderdale,Florida,no,4
64,38 Kropf Way,Miami,Florida,yes,5
65,8 Browning Crossing,Colorado Springs,Colorado,yes,5
66,453 Steensland Drive,Saint Louis,Missouri,yes,5
67,140 Granby Circle,Minneapolis,Minnesota,no,5
68,8 Scott Crossing,Staten Island,New York,yes,5
69,518 Village Road,Monroe,Louisiana,yes,5
70,1470 Bayside Park,Nashville,Tennessee,yes,4
71,51158 Del Sol Circle,Denver,Colorado,no,4
72,04 Gerald Hill,Roanoke,Virginia,yes,4
73,184 Spohn Alley,Redwood City,California,no,5
74,7882 Elka Road,New York City,New York,no,4
75,9 Fairview Parkway,Huntington,West Virginia,no,5
76,05599 Maywood Point,Greensboro,North Carolina,no,4
77,222 Trailsway Point,Bradenton,Florida,yes,4
78,8 Reinke Alley,Newton,Massachusetts,yes,5
79,78 Ridgeway Street,Washington,District of Columbia,no,5
80,0 Atwood Pass,Corpus Christi,Texas,no,4
81,64469 Stoughton Parkway,Woburn,Massachusetts,no,4
82,375 Del Sol Terrace,Marietta,Georgia,no,5
83,33240 Loomis Pass,Lees Summit,Missouri,no,5
84,6372 Dwight Parkway,Orange,California,yes,5
85,98650 Dovetail Parkway,Charleston,West Virginia,no,4
86,6267 Warner Trail,Alexandria,Louisiana,no,5
87,0791 Red Cloud Pass,Glendale,California,no,4
88,00721 Shelley Plaza,Seattle,Washington,yes,5
89,04442 Burrows Avenue,New York City,New York,yes,4
90,75703 Village Court,Nashville,Tennessee,no,4
91,573 Paget Park,Kansas City,Missouri,no,4
92,9531 John Wall Alley,Orlando,Florida,yes,5
93,001 8th Parkway,Chicago,Illinois,yes,4
94,1 Texas Plaza,Humble,Texas,yes,5
95,8 Chinook Avenue,Miami,Florida,yes,5
96,12 Aberg Pass,Washington,District of Columbia,no,5
97,90653 Vernon Way,Gaithersburg,Maryland,yes,5
98,25 Kropf Place,Shawnee Mission,Kansas,yes,4
99,151 Bunker Hill Drive,Madison,Wisconsin,no,4
100,0311 Merchant Place,San Francisco,California,yes,4
101,2698 3rd Trail,Oklahoma City,Oklahoma,yes,4
102,203 2nd Hill,Hicksville,New York,yes,4
103,26240 Grim Drive,Anderson,Indiana,yes,4
104,5742 Eggendart Center,Portland,Oregon,yes,4
105,26 Southridge Junction,Kansas City,Missouri,no,5
106,3 Pine View Lane,Wilmington,North Carolina,no,4
107,800 Fulton Place,Juneau,Alaska,no,5
108,52686 Boyd Circle,Hayward,California,yes,4
109,22 Iowa Circle,Birmingham,Alabama,yes,4
110,9489 Sloan Junction,Spring,Texas,yes,4
111,884 Bashford Court,San Mateo,California,yes,5
112,16564 Killdeer Way,Sacramento,California,no,4
113,7038 Goodland Place,San Antonio,Texas,no,5
114,6242 Cardinal Circle,Albany,New York,yes,4
115,752 Darwin Street,New Castle,Pennsylvania,no,5
116,9457 Delladonna Street,Birmingham,Alabama,yes,5
117,1 Browning Junction,Atlanta,Georgia,yes,4
118,66 Karstens Drive,Phoenix,Arizona,no,4
119,7 Hayes Road,San Antonio,Texas,yes,4
120,752 Emmet Drive,Salt Lake City,Utah,yes,5
121,1 4th Circle,Las Vegas,Nevada,no,5
122,6850 Gerald Way,Dallas,Texas,no,5
123,4 Schlimgen Crossing,Houston,Texas,yes,4
124,274 Red Cloud Center,Saint Louis,Missouri,yes,5
125,69351 Bayside Point,Portland,Oregon,yes,5
126,43990 Blackbird Plaza,Brooklyn,New York,no,4
127,1 Rowland Park,Dayton,Ohio,no,4
128,673 Tony Center,Visalia,California,no,4
129,16 Florence Street,Schenectady,New York,yes,4
130,923 Heath Hill,Los Angeles,California,no,5
131,71 Novick Parkway,Houston,Texas,no,5
132,740 Manitowish Street,Huntington Beach,California,no,4
133,334 Union Court,Fort Lauderdale,Florida,no,5
134,0 Messerschmidt Junction,Helena,Montana,yes,5
135,94522 Hooker Plaza,Lexington,Kentucky,yes,5
136,76579 Sutteridge Point,Houston,Texas,no,5
137,309 Garrison Crossing,Huntington,West Virginia,yes,5
138,758 Anderson Center,Montgomery,Alabama,no,4
139,83 Bluestem Center,Seattle,Washington,no,4
140,7 Grim Pass,Phoenix,Arizona,yes,4
141,9133 Coolidge Drive,Lincoln,Nebraska,no,5
142,4 Judy Plaza,Pasadena,Texas,no,4
143,0 Continental Road,Boulder,Colorado,yes,5
144,7500 Arkansas Pass,Bronx,New York,yes,4
145,7 Havey Park,South Bend,Indiana,no,4
146,24 Kennedy Center,Santa Fe,New Mexico,no,4
147,6886 Jackson Center,New York City,New York,no,4
148,2808 Talmadge Plaza,Topeka,Kansas,no,4
149,42808 Tennessee Circle,Scranton,Pennsylvania,yes,4
150,0 Fordem Street,Danbury,Connecticut,yes,5
151,08782 Sutherland Avenue,Monticello,Minnesota,no,4
152,2 Fallview Crossing,Fresno,California,no,4
153,09526 Bonner Point,Baton Rouge,Louisiana,no,5
154,633 Sheridan Street,New Orleans,Louisiana,yes,5
155,971 Kedzie Junction,El Paso,Texas,yes,4
156,00 Loeprich Road,Brooklyn,New York,no,4
157,79 Erie Pass,El Paso,Texas,yes,4
158,44 Thompson Hill,Pittsburgh,Pennsylvania,yes,5
159,8 Towne Plaza,Colorado Springs,Colorado,yes,4
160,60 Mifflin Junction,Charlotte,North Carolina,no,5
161,7 Atwood Way,Akron,Ohio,yes,4
162,97 Hagan Place,Spokane,Washington,no,4
163,4115 Bluejay Circle,Sacramento,California,yes,4
164,90 Moland Street,Salt Lake City,Utah,yes,4
165,89 Commercial Park,Greensboro,North Carolina,no,5
166,58 Golf View Circle,Cleveland,Ohio,yes,5
167,059 Emmet Pass,San Diego,California,no,4
168,9695 Petterle Terrace,New Orleans,Louisiana,yes,4
169,1190 Sage Place,Madison,Wisconsin,yes,5
170,36747 International Way,Los Angeles,California,no,5
171,77 Corscot Pass,Madison,Wisconsin,yes,5
172,89 Clyde Gallagher Street,Virginia Beach,Virginia,no,4
173,13 Portage Drive,Austin,Texas,yes,4
174,59 Grasskamp Terrace,South Lake Tahoe,California,yes,4
175,33 Hooker Court,Spring Hill,Florida,yes,4
176,99 Judy Hill,Chicago,Illinois,no,4
177,3 Kenwood Way,Lansing,Michigan,no,5
178,839 Center Point,New York City,New York,yes,4
179,81 Debra Terrace,Des Moines,Iowa,yes,5
180,6177 Sachs Park,Sacramento,California,no,4
181,42 Park Meadow Avenue,Glendale,Arizona,yes,4
182,512 Daystar Pass,Kingsport,Tennessee,no,4
183,399 Hermina Hill,Pomona,California,yes,5
184,3 Manitowish Terrace,Baltimore,Maryland,no,5
185,879 Commercial Alley,Columbus,Ohio,no,4
186,4095 Mayfield Place,Durham,North Carolina,yes,5
187,93 Independence Lane,Washington,District of Columbia,no,4
188,89658 Pierstorff Junction,New Haven,Connecticut,no,5
189,93831 Drewry Trail,Spokane,Washington,yes,5
190,9765 Cody Road,Houston,Texas,no,5
191,8379 Portage Alley,Houston,Texas,no,4
192,7 Merrick Junction,Cedar Rapids,Iowa,no,4
193,34853 American Park,Lexington,Kentucky,yes,5
194,19776 Evergreen Parkway,Lake Worth,Florida,no,5
195,58 Bay Terrace,Stockton,California,yes,5
196,32809 Boyd Pass,Rockford,Illinois,no,5
197,4 Pine View Drive,Saint Louis,Missouri,no,4
198,61195 Paget Alley,Levittown,Pennsylvania,no,4
199,07243 Duke Avenue,Tulsa,Oklahoma,yes,4
200,0387 Morrow Plaza,Milwaukee,Wisconsin,no,4
201,96844 Cardinal Alley,Baltimore,Maryland,yes,4
202,529 Stone Corner Avenue,Decatur,Georgia,no,4
203,85 Novick Trail,New York City,New York,no,5
204,6352 Clarendon Parkway,Pittsburgh,Pennsylvania,yes,5
205,19187 Arrowood Circle,Columbia,South Carolina,no,5
206,3 Reinke Drive,Tallahassee,Florida,no,5
207,057 North Trail,Odessa,Texas,no,4
208,04 Brentwood Terrace,El Paso,Texas,no,4
209,1205 Shasta Drive,Miami,Florida,yes,4
210,8284 Cottonwood Lane,Portland,Oregon,yes,5
211,0 Sutteridge Point,Madison,Wisconsin,no,4
212,4 Riverside Pass,Atlanta,Georgia,yes,4
213,30991 Hooker Circle,Los Angeles,California,yes,5
214,09473 Annamark Crossing,Tulsa,Oklahoma,yes,4
215,7 Schlimgen Park,Salt Lake City,Utah,yes,4
216,6 Loeprich Road,New Haven,Connecticut,no,4
217,93 Ruskin Avenue,Corpus Christi,Texas,yes,4
218,6 Knutson Drive,Mobile,Alabama,yes,4
219,7 Corscot Trail,San Antonio,Texas,no,4
220,4483 Bayside Junction,Orlando,Florida,yes,4
221,303 Fordem Street,Jacksonville,Florida,no,4
222,93060 Truax Drive,New York City,New York,no,5
223,683 Comanche Crossing,Baltimore,Maryland,no,4
224,18 6th Hill,Boynton Beach,Florida,no,5
225,62209 Del Mar Drive,Minneapolis,Minnesota,no,5
226,0 Raven Plaza,Albany,New York,no,4
227,1657 Ruskin Point,Pittsburgh,Pennsylvania,yes,5
228,0748 Gina Street,San Francisco,California,no,5
229,2 Eggendart Crossing,Dallas,Texas,no,4
230,87 John Wall Hill,Pittsburgh,Pennsylvania,no,4
231,0289 Jenifer Center,Boise,Idaho,no,5
232,953 Onsgard Center,Augusta,Georgia,yes,4
233,27 Bay Center,Juneau,Alaska,no,5
234,37986 Johnson Way,Dearborn,Michigan,no,4
235,1 Lakeland Parkway,Detroit,Michigan,no,4
236,30001 Scofield Park,Pasadena,California,yes,4
237,549 Armistice Crossing,Athens,Georgia,no,5
238,0 Kim Parkway,Brooksville,Florida,no,4
239,7994 Chive Center,Honolulu,Hawaii,no,4
240,557 Tony Hill,Austin,Texas,yes,5
241,611 Birchwood Alley,Washington,District of Columbia,yes,5
242,6 Shoshone Crossing,Washington,District of Columbia,yes,5
243,897 Sundown Park,Houston,Texas,yes,5
244,24696 Nancy Hill,Houston,Texas,yes,5
245,7 Heath Pass,Erie,Pennsylvania,yes,4
246,74 Sloan Junction,Santa Monica,California,yes,4
247,1 Melrose Plaza,Kansas City,Missouri,no,5
248,46 Stang Alley,Fort Collins,Colorado,yes,5
249,9 Artisan Avenue,Topeka,Kansas,no,4
250,4303 Maryland Avenue,Louisville,Kentucky,no,4
251,750 Darwin Court,Springfield,Missouri,no,4
252,4680 Green Ridge Trail,Chicago,Illinois,yes,4
253,9 Mallard Place,Fresno,California,no,5
254,23 Sunfield Lane,Mesa,Arizona,no,4
255,5 1st Drive,Greensboro,North Carolina,yes,5
256,87 Schlimgen Lane,Fort Worth,Texas,yes,4
257,35 Ilene Way,Milwaukee,Wisconsin,yes,4
258,6659 Blackbird Center,Detroit,Michigan,yes,5
259,9 Doe Crossing Terrace,Shreveport,Louisiana,no,4
260,6491 Spaight Drive,Maple Plain,Minnesota,no,5
261,0 Haas Alley,Shreveport,Louisiana,no,4
262,1 Eggendart Road,Berkeley,California,no,5
263,447 Schurz Park,Huntington,West Virginia,yes,5
264,5 Northwestern Park,San Jose,California,no,4
265,71915 Manufacturers Point,San Antonio,Texas,no,4
266,95040 Becker Point,Memphis,Tennessee,no,4
267,160 Mitchell Road,Nashville,Tennessee,no,5
268,29 Calypso Alley,Rockville,Maryland,yes,5
269,03 Texas Trail,Greenville,South Carolina,yes,4
270,11964 Sommers Center,Houston,Texas,yes,4
271,15535 Dorton Circle,Colorado Springs,Colorado,no,4
272,4425 Hagan Park,Pueblo,Colorado,yes,5
273,20 Hauk Circle,Mobile,Alabama,yes,5
274,2228 Randy Hill,Santa Fe,New Mexico,yes,5
275,48302 Prairie Rose Way,Austin,Texas,yes,4
276,132 Beilfuss Way,Levittown,Pennsylvania,no,5
277,8 Veith Junction,Cincinnati,Ohio,no,5
278,8734 Fisk Avenue,Sacramento,California,no,4
279,120 Tony Junction,Springfield,Illinois,no,4
280,14973 Farmco Circle,Oakland,California,yes,4
281,5 Comanche Place,Denver,Colorado,no,5
282,82 Ludington Parkway,Miami,Florida,no,4
283,1298 Fairview Pass,Louisville,Kentucky,no,4
284,5161 Mesta Park,Fort Lauderdale,Florida,no,4
285,35 Bowman Crossing,Arlington,Texas,yes,5
286,25069 Glacier Hill Lane,Knoxville,Tennessee,yes,5
287,032 Green Ridge Way,Columbia,Missouri,yes,5
288,68 Haas Street,Greeley,Colorado,no,5
289,57517 Chinook Parkway,Houston,Texas,no,4
290,4 Grayhawk Terrace,El Paso,Texas,yes,5
291,97 Eliot Pass,Wichita,Kansas,no,4
292,12886 Sycamore Place,Kansas City,Missouri,no,5
293,999 Northland Alley,Shawnee Mission,Kansas,no,4
294,1 Loeprich Plaza,Bloomington,Illinois,no,4
295,6 Sloan Alley,Atlanta,Georgia,no,5
296,283 Becker Alley,West Palm Beach,Florida,no,5
297,211 Macpherson Pass,Mesquite,Texas,yes,4
298,1268 Chive Avenue,Boston,Massachusetts,yes,5
299,0 Dahle Circle,Round Rock,Texas,no,4
300,0024 Ohio Circle,Baltimore,Maryland,no,4
301,390 Algoma Center,Decatur,Georgia,no,5
302,786 Stang Pass,Paterson,New Jersey,yes,4
303,607 Fieldstone Place,West Palm Beach,Florida,no,5
304,3 Heath Parkway,Indianapolis,Indiana,no,5
305,65333 Spohn Place,Montgomery,Alabama,no,4
306,154 Bay Lane,Dallas,Texas,yes,4
307,68926 Eliot Hill,Vero Beach,Florida,no,4
308,4867 Crownhardt Terrace,Atlanta,Georgia,yes,4
309,9 Dexter Center,Virginia Beach,Virginia,no,4
310,17 Declaration Terrace,Las Vegas,Nevada,yes,4
311,7029 Loeprich Junction,Bismarck,North Dakota,no,4
312,0 Sommers Circle,Springfield,Illinois,yes,5
313,0477 Sullivan Pass,Austin,Texas,yes,5
314,524 Sachtjen Way,Carlsbad,California,no,4
315,694 6th Street,Mobile,Alabama,yes,4
316,2 Thackeray Junction,Fort Worth,Texas,yes,5
317,99 Delladonna Pass,Maple Plain,Minnesota,yes,5
318,36205 Prairieview Place,Lake Charles,Louisiana,yes,5
319,7556 Reindahl Road,Virginia Beach,Virginia,yes,5
320,4568 Dayton Pass,Aurora,Colorado,yes,4
321,3 Comanche Court,Irving,Texas,yes,4
322,2705 Ridgeway Crossing,Bakersfield,California,no,4
323,3639 Chive Crossing,Miami,Florida,no,4
324,059 Arkansas Avenue,Newark,Delaware,no,4
325,5591 Kinsman Point,Gainesville,Florida,no,5
326,74612 Golf Course Alley,Atlanta,Georgia,yes,5
327,0 Hallows Hill,Naples,Florida,no,5
328,92411 Pawling Drive,Chicago,Illinois,no,5
329,952 Schiller Place,Washington,District of Columbia,yes,5
330,1067 Swallow Circle,Evansville,Indiana,yes,4
331,8095 Forest Street,Tucson,Arizona,yes,5
332,49657 Vera Avenue,Largo,Florida,no,4
333,83 Fallview Park,Tulsa,Oklahoma,yes,4
334,88421 Delaware Pass,Lincoln,Nebraska,no,5
335,785 Novick Terrace,Orlando,Florida,no,4
336,2116 Delladonna Alley,Fort Lauderdale,Florida,yes,4
